" ","patent_parties","patents_granted","inventors","owners","applicants","emp_patenting_ind","wages_paid_patenting_ind","exports_all_countries","exports_united_states","exports_china","exports_mexico","exports_united_kingdom","exports_japan","exports_germany","exports_south_korea","exports_italy","exports_france","exports_netherlands","exports_belgium","exports_spain","exports_hong_kong","exports_brazil","exports_algeria","exports_norway","exports_india","exports_switzerland","exports_saudi_arabia","exports_turkiye","exports_taiwan","exports_peru","exports_australia","exports_iraq","exports_indonesia","exports_singapore","exports_russian_federation","exports_other_countries","imports_all_countries","imports_united_states","imports_china","imports_mexico","imports_united_kingdom","imports_japan","imports_germany","imports_south_korea","imports_italy","imports_france","imports_netherlands","imports_belgium","imports_spain","imports_hong_kong","imports_brazil","imports_algeria","imports_norway","imports_india","imports_switzerland","imports_saudi_arabia","imports_turkiye","imports_taiwan","imports_peru","imports_australia","imports_iraq","imports_indonesia","imports_singapore","imports_russian_federation","imports_other_countries","total_pop","total_emp","total_full_emp","total_part_emp","total_unem","total_emp_rate","total_wage","total_wage_males","total_wage_females","total_avg_wage","total_median_wage","total_usual_hours","total_actual_hours","total_avg_tenure","total_bankruptcies","total_insolvencies","emp_males","emp_females","emp_goods","emp_agriculture","emp_natural_resources","emp_utilities","emp_construction","emp_manufacturing","emp_services","emp_wholesale_and_retail","emp_transportation","emp_finance","emp_business","emp_professional","emp_education","emp_healthcare","emp_media","emp_food","emp_other","emp_public","avg_wage_males","avg_wage_females","median_wage_males","median_wage_females","median_wage_goods","median_wage_agriculture","median_wage_natural_resources","median_wage_utilities","median_wage_construction","median_wage_manufacturing","median_wage_services","median_wage_wholesale_and_retail","median_wage_transportation","median_wage_finance","median_wage_business","median_wage_professional","median_wage_education","median_wage_healthcare","median_wage_media","median_wage_food","median_wage_other","median_wage_public","new_housing_price_index","wages_paid_goods","wages_paid_agriculture","wages_paid_natural_resources","wages_paid_utilities","wages_paid_construction","wages_paid_manufacturing","wages_paid_services","wages_paid_wholesale_and_retail","wages_paid_transportation","wages_paid_finance","wages_paid_business","wages_paid_professional","wages_paid_education","wages_paid_healthcare","wages_paid_media","wages_paid_food","wages_paid_other","wages_paid_public","average_usual_hours","average_usual_hours_males","average_usual_hours_females","average_actual_hours","average_actual_hours_males","average_actual_hours_females","retail_sales","wholesale_sales","manufacturing_sales"
"emp_public",".78",".80",".80",".70",".81",".99",".99",".91",".87",".34",".81",".75",".33",".84",".37",".59",".73",".59",".68",".42",".58",".33","-.06",".74",".23",".60",".50",".32",".40",".24",".84",".14",".09",".73",".62",".79",".91",".87",".83",".80",".79",".82",".87",".74",".93",".84",".71",".64",".85",".68",".80",".28",".16",".86",".83","-.14",".80",".91",".70",".70","-.13",".91",".80",".47",".93",".99",".99",".99",".97",".95",".26",".99",".99",".99",".28",".28",".99",".99","-.04",".84",".92",".99",".98",".98",".69",".36",".97",".93",".95",".98",".99",".98",".97",".92",".93",".98",".96",".97",".96",".98","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"avg_wage_males",".15",".39",".27","-.01",".21",".27",".27",".41",".36",".70",".48",".26",".39",".25",".38",".31",".22",".35",".30",".20",".21",".27",".17",".20",".40",".20",".22",".32",".35",".51",".36",".19",".45",".34",".24",".51",".28",".24",".39",".29",".07",".20",".29",".28",".32",".17",".25",".26",".31","-.02",".27","-.06","-.19",".39",".29","-.05",".36",".29",".26",".27","-.05",".31",".17",".13",".31",".31",".31",".31",".31",".28",".22",".31",".31",".31",".99",".99",".31",".30",".10",".00",".21",".31",".31",".27",".19",".42",".27",".45",".13",".32",".30",".34",".30",".37",".30",".33",".37",".26",".30",".29",".29","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"avg_wage_females",".10",".36",".23","-.06",".17",".25",".25",".36",".31",".63",".46",".26",".31",".26",".33",".29",".24",".33",".30",".20",".21",".25",".13",".20",".37",".21",".23",".31",".28",".47",".33",".15",".40",".33",".22",".48",".27",".22",".39",".29",".08",".18",".31",".27",".33",".19",".28",".29",".34","-.05",".30","-.04","-.17",".40",".29","-.01",".38",".27",".27",".24","-.09",".31",".15",".14",".32",".28",".28",".28",".28",".26",".18",".28",".28",".28",".99",".98",".28",".27",".21","-.03",".20",".28",".28",".23",".12",".29",".23",".40",".11",".29",".27",".30",".28",".34",".27",".30",".35",".23",".26",".25",".27",".97","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_males",".15",".37",".26",".00",".21",".26",".26",".40",".35",".73",".45",".22",".46",".22",".43",".31",".20",".34",".30",".18",".19",".30",".20",".17",".43",".18",".19",".32",".40",".53",".35",".19",".49",".32",".22",".50",".25",".21",".36",".25",".05",".20",".25",".26",".29",".15",".22",".22",".27",".00",".24","-.07","-.21",".36",".25","-.09",".32",".28",".23",".29","-.06",".29",".16",".11",".27",".30",".30",".30",".31",".27",".25",".30",".30",".30",".98",".99",".30",".29",".06","-.01",".19",".30",".30",".27",".22",".46",".25",".44",".12",".31",".29",".34",".29",".35",".28",".31",".35",".25",".30",".29",".27",".99",".95","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_females",".11",".36",".24","-.04",".18",".26",".26",".36",".30",".65",".45",".24",".35",".26",".36",".29",".25",".34",".31",".21",".20",".28",".15",".19",".40",".21",".21",".33",".31",".48",".34",".15",".43",".33",".22",".49",".26",".21",".38",".26",".09",".19",".29",".26",".33",".21",".28",".28",".33","-.03",".31","-.03","-.17",".39",".28","-.02",".37",".28",".26",".27","-.12",".31",".16",".13",".31",".29",".29",".29",".30",".27",".20",".29",".29",".30",".98",".99",".29",".28",".21",".00",".21",".29",".30",".24",".14",".29",".24",".40",".12",".30",".29",".32",".29",".35",".28",".31",".36",".24",".27",".26",".28",".97",".99",".95","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_goods",".11",".31",".21","-.02",".17",".19",".19",".34",".30",".71",".38",".15",".43",".16",".39",".29",".17",".34",".27",".19",".14",".29",".24",".10",".41",".14",".13",".31",".36",".52",".29",".18",".50",".27",".19",".46",".17",".14",".27",".17",".00",".13",".16",".19",".20",".09",".17",".15",".20","-.04",".17","-.07","-.20",".27",".16","-.09",".24",".20",".15",".23","-.03",".21",".11",".08",".18",".23",".23",".23",".24",".20",".21",".23",".23",".23",".94",".95",".23",".23",".05","-.03",".15",".23",".24",".21",".18",".48",".19",".37",".06",".24",".23",".27",".21",".28",".21",".24",".28",".19",".23",".23",".20",".96",".90",".98",".90","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_agriculture","-.11",".15","-.01","-.23","-.06",".02",".02",".16",".12",".55",".30",".09",".22",".07",".20",".15",".07",".16",".17",".10",".08",".25",".24",".04",".37",".06",".11",".28",".16",".50",".14",".12",".48",".15",".06",".34",".07",".04",".18",".10","-.11","-.01",".07",".08",".11","-.01",".10",".10",".13","-.19",".11","-.12","-.20",".19",".10",".04",".19",".06",".10",".06","-.09",".08","-.04",".01",".09",".05",".05",".05",".05",".03",".19",".05",".05",".05",".89",".89",".05",".04",".27","-.22","-.02",".05",".05",".01",".00",".21",".02",".16","-.10",".06",".04",".07",".06",".11",".04",".07",".12",".00",".03",".02",".04",".88",".89",".86",".89",".84","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_natural_resources",".12",".33",".22","-.02",".17",".21",".21",".36",".32",".70",".43",".18",".41",".17",".36",".28",".16",".28",".28",".17",".17",".33",".28",".13",".43",".15",".16",".30",".34",".58",".31",".20",".54",".28",".20",".50",".20",".19",".29",".21","-.02",".15",".16",".21",".23",".10",".16",".13",".21","-.03",".18","-.10","-.25",".30",".20","-.16",".26",".22",".16",".21",".00",".21",".12",".08",".19",".24",".25",".25",".25",".21",".29",".25",".25",".25",".89",".89",".25",".24",".08","-.04",".14",".25",".25",".22",".26",".44",".22",".37",".08",".25",".24",".28",".23",".29",".22",".26",".29",".20",".24",".24",".22",".91",".84",".93",".84",".93",".81","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_utilities",".12",".36",".25","-.04",".19",".25",".25",".36",".31",".55",".45",".27",".25",".26",".27",".29",".25",".33",".30",".23",".22",".19",".08",".22",".31",".21",".23",".29",".24",".42",".31",".13",".33",".32",".21",".45",".28",".24",".38",".30",".10",".18",".31",".27",".34",".21",".29",".28",".35","-.05",".31","-.03","-.12",".40",".30",".05",".39",".26",".28",".21","-.08",".30",".15",".15",".32",".28",".28",".28",".28",".26",".11",".28",".28",".29",".92",".90",".28",".27",".15","-.01",".22",".28",".28",".23",".10",".25",".25",".38",".13",".29",".27",".30",".28",".34",".28",".30",".35",".23",".26",".25",".27",".90",".92",".87",".91",".84",".82",".77","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_construction",".18",".39",".30",".02",".24",".32",".32",".41",".35",".70",".48",".21",".42",".31",".41",".35",".35",".44",".39",".31",".19",".32",".17",".15",".42",".24",".19",".38",".37",".51",".40",".17",".46",".40",".29",".57",".26",".21",".37",".24",".17",".18",".30",".25",".36",".28",".36",".27",".37",".01",".35",".04","-.11",".40",".26","-.08",".39",".29",".22",".33","-.09",".33",".19",".19",".33",".35",".35",".35",".36",".32",".22",".35",".35",".35",".95",".96",".35",".34",".09",".10",".30",".35",".35",".31",".24",".40",".30",".45",".18",".36",".35",".38",".32",".39",".33",".36",".42",".30",".34",".34",".34",".96",".93",".96",".93",".95",".84",".89",".88","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_manufacturing",".14",".36",".24",".00",".19",".28",".28",".39",".34",".72",".43",".19",".49",".20",".46",".29",".20",".29",".30",".14",".18",".34",".21",".16",".46",".19",".17",".34",".41",".53",".37",".17",".51",".32",".22",".50",".25",".21",".35",".24",".07",".22",".26",".25",".28",".16",".23",".23",".26",".03",".24","-.05","-.19",".35",".23","-.06",".30",".29",".23",".32","-.16",".30",".18",".06",".27",".31",".32",".31",".33",".28",".29",".31",".31",".31",".93",".95",".31",".31",".07",".03",".22",".31",".32",".28",".24",".43",".26",".44",".14",".32",".31",".35",".30",".36",".30",".33",".36",".28",".32",".30",".29",".94",".91",".95",".92",".94",".82",".86",".82",".91","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_services",".13",".37",".25","-.03",".19",".27",".27",".38",".32",".67",".46",".26",".38",".27",".39",".31",".24",".34",".31",".20",".21",".27",".14",".20",".40",".21",".23",".33",".34",".48",".35",".16",".43",".34",".22",".50",".28",".23",".40",".29",".09",".21",".30",".29",".34",".20",".28",".28",".34","-.01",".31","-.04","-.18",".41",".30","-.04",".38",".30",".28",".29","-.09",".33",".17",".14",".33",".30",".31",".31",".31",".28",".20",".31",".31",".31",".99",".99",".30",".29",".17","-.01",".21",".30",".31",".26",".15",".31",".25",".43",".13",".32",".30",".33",".31",".37",".29",".33",".37",".26",".29",".28",".29",".98",".99",".96",".99",".91",".89",".85",".91",".94",".92","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_wholesale_and_retail",".07",".33",".18","-.08",".13",".23",".23",".36",".31",".71",".44",".18",".41",".20",".40",".25",".19",".26",".27",".15",".17",".30",".19",".13",".43",".17",".19",".32",".34",".54",".33",".17",".50",".31",".20",".48",".22",".18",".34",".22",".04",".15",".23",".22",".28",".15",".23",".22",".27","-.04",".25","-.06","-.18",".35",".22","-.03",".32",".25",".20",".27","-.16",".27",".13",".07",".26",".26",".27",".27",".27",".23",".34",".27",".27",".27",".97",".97",".27",".26",".11","-.04",".17",".27",".27",".23",".20",".39",".22",".40",".09",".28",".26",".30",".25",".32",".25",".28",".33",".22",".26",".25",".25",".96",".96",".95",".96",".91",".90",".87",".87",".92",".93",".96","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_transportation",".03",".25",".13","-.10",".08",".15",".15",".27",".22",".70",".33",".11",".45",".12",".43",".21",".12",".26",".20",".12",".12",".22",".17",".07",".39",".11",".11",".27",".39",".46",".26",".16",".44",".23",".15",".38",".13",".10",".26",".14","-.03",".10",".16",".17",".17",".06",".14",".15",".16","-.07",".14","-.09","-.25",".26",".13","-.14",".22",".18",".13",".24","-.05",".20",".07",".06",".16",".18",".19",".19",".20",".15",".25",".19",".19",".19",".93",".94",".19",".18",".08","-.09",".09",".19",".19",".15",".12",".39",".13",".33",".01",".20",".18",".23",".17",".24",".17",".20",".24",".15",".19",".17",".16",".94",".91",".95",".90",".93",".83",".88",".82",".90",".90",".92",".91","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_finance",".18",".43",".31",".00",".24",".35",".36",".44",".38",".66",".54",".34",".35",".37",".38",".37",".33",".39",".40",".26",".27",".31",".14",".28",".43",".28",".29",".37",".33",".50",".41",".16",".43",".40",".27",".58",".38",".32",".49",".37",".17",".27",".41",".36",".45",".30",".37",".37",".44",".02",".41","-.01","-.13",".51",".39","-.02",".48",".38",".35",".33","-.09",".42",".23",".21",".43",".39",".39",".39",".39",".35",".16",".39",".39",".39",".96",".95",".38",".37",".19",".06",".30",".38",".39",".33",".21",".26",".33",".49",".21",".40",".38",".41",".39",".45",".38",".41",".46",".33",".36",".35",".38",".94",".96",".92",".95",".87",".85",".83",".89",".92",".89",".95",".92",".86","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_business",".20",".43",".33",".04",".27",".33",".33",".44",".39",".66",".49",".32",".37",".31",".39",".34",".26",".39",".32",".22",".25",".25",".10",".26",".38",".23",".26",".32",".36",".44",".39",".17",".37",".37",".26",".51",".34",".29",".45",".34",".13",".26",".37",".33",".38",".23",".30",".32",".37",".02",".33","-.04","-.15",".45",".35","-.02",".41",".35",".32",".31","-.06",".38",".22",".16",".38",".36",".37",".36",".37",".33",".17",".37",".36",".37",".95",".95",".36",".35",".07",".05",".27",".36",".37",".32",".19",".37",".31",".49",".19",".38",".36",".39",".36",".42",".36",".38",".42",".32",".35",".34",".35",".95",".94",".94",".93",".90",".81",".83",".88",".91",".89",".94",".91",".88",".92","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_professional",".10",".30",".21","-.05",".16",".21",".21",".32",".27",".68",".37",".15",".36",".22",".39",".28",".24",".39",".28",".25",".13",".25",".16",".10",".40",".17",".16",".33",".35",".44",".29",".16",".41",".31",".20",".45",".18",".13",".30",".17",".08",".10",".20",".19",".26",".18",".25",".21",".27","-.05",".26",".01","-.11",".32",".18",".00",".31",".21",".17",".28","-.07",".24",".11",".14",".24",".24",".25",".25",".25",".22",".15",".25",".25",".25",".94",".94",".24",".23",".08","-.01",".18",".24",".25",".21",".12",".39",".20",".36",".08",".26",".24",".28",".22",".30",".22",".25",".31",".20",".24",".23",".23",".94",".93",".93",".93",".92",".85",".84",".87",".92",".88",".93",".91",".89",".89",".91","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_education",".16",".35",".30",".00",".23",".24",".25",".33",".28",".49",".43",".28",".19",".31",".21",".33",".30",".43",".33",".29",".20",".22",".11",".21",".29",".22",".22",".31",".19",".39",".30",".12",".30",".33",".24",".46",".27",".22",".37",".28",".13",".16",".30",".26",".34",".23",".32",".28",".37","-.05",".34",".01","-.13",".38",".31","-.02",".39",".25",".28",".19",".04",".29",".15",".22",".32",".27",".27",".27",".26",".27",".00",".27",".27",".27",".90",".89",".26",".25",".19",".02",".22",".26",".27",".22",".07",".21",".23",".36",".13",".28",".26",".28",".27",".32",".27",".28",".34",".22",".25",".24",".27",".89",".91",".85",".89",".83",".80",".76",".86",".86",".78",".89",".82",".80",".87",".87",".86","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_healthcare",".12",".36",".24","-.03",".19",".23",".23",".35",".30",".62",".42",".25",".36",".22",".35",".29",".19",".30",".25",".15",".20",".23",".11",".19",".36",".18",".21",".29",".31",".44",".31",".14",".38",".30",".20",".43",".26",".21",".37",".27",".05",".21",".27",".28",".29",".14",".22",".25",".28","-.03",".24","-.06","-.19",".36",".27","-.02",".33",".27",".26",".25","-.07",".30",".14",".10",".28",".27",".27",".27",".28",".25",".17",".27",".27",".27",".96",".96",".27",".26",".12","-.03",".18",".27",".27",".22",".09",".33",".22",".40",".10",".28",".26",".29",".27",".33",".27",".28",".33",".23",".27",".25",".25",".94",".97",".93",".96",".89",".85",".80",".88",".89",".90",".97",".92",".88",".91",".91",".90",".88","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_media",".16",".33",".27",".01",".21",".30",".30",".34",".28",".63",".41",".25",".39",".33",".42",".33",".31",".39",".34",".25",".19",".29",".13",".20",".41",".23",".21",".35",".38",".41",".36",".12",".40",".34",".23",".50",".28",".22",".40",".26",".15",".22",".31",".27",".37",".27",".31",".28",".37",".05",".37",".02","-.12",".42",".29","-.02",".40",".33",".28",".36","-.04",".36",".20",".21",".36",".33",".33",".33",".33",".32",".10",".33",".33",".33",".86",".87",".32",".31",".23",".06",".25",".32",".33",".27",".16",".21",".26",".40",".18",".34",".32",".35",".32",".38",".30",".36",".39",".28",".30",".30",".32",".85",".86",".85",".87",".81",".76",".76",".78",".84",".82",".88",".83",".79",".85",".82",".82",".76",".81","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_food",".04",".29",".17","-.11",".11",".20",".20",".29",".24",".63",".38",".18",".35",".23",".38",".25",".22",".32",".26",".19",".17",".19",".08",".12",".37",".17",".19",".30",".33",".39",".28",".14",".36",".31",".18",".41",".20",".14",".34",".21",".06",".12",".26",".22",".29",".18",".27",".27",".30","-.08",".29","-.03","-.15",".36",".22",".02",".34",".23",".21",".27","-.09",".28",".10",".13",".28",".23",".23",".23",".24",".20",".17",".24",".23",".24",".96",".96",".23",".22",".15","-.06",".16",".23",".24",".18",".06",".29",".17",".35",".06",".25",".23",".26",".23",".30",".22",".25",".31",".18",".22",".21",".22",".94",".97",".92",".97",".87",".86",".79",".89",".91",".89",".97",".94",".89",".92",".92",".92",".88",".95",".83","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_other",".07",".33",".18","-.08",".13",".22",".23",".35",".30",".64",".43",".20",".36",".20",".36",".23",".19",".25",".26",".15",".18",".25",".15",".15",".38",".17",".20",".29",".30",".50",".31",".17",".45",".31",".20",".45",".23",".19",".34",".23",".05",".14",".26",".22",".29",".16",".24",".26",".29","-.04",".27","-.05","-.16",".36",".24",".01",".32",".24",".22",".25","-.19",".27",".12",".07",".27",".26",".26",".26",".26",".23",".32",".26",".26",".26",".94",".94",".26",".25",".15","-.04",".17",".26",".26",".22",".17",".35",".21",".39",".09",".27",".25",".29",".25",".32",".24",".28",".32",".21",".24",".24",".24",".92",".94",".90",".94",".85",".87",".80",".85",".88",".89",".94",".95",".86",".90",".88",".87",".80",".91",".81",".93","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"median_wage_public",".13",".42",".27","-.04",".20",".29",".29",".41",".36",".62",".50",".33",".31",".28",".34",".29",".22",".29",".28",".16",".28",".22",".08",".27",".35",".22",".28",".28",".29",".45",".36",".17",".36",".36",".25",".47",".34",".29",".45",".36",".10",".25",".38",".33",".37",".20",".28",".34",".36","-.04",".31","-.06","-.17",".45",".36",".00",".41",".32",".34",".26","-.09",".37",".18",".13",".37",".33",".33",".33",".33",".30",".21",".33",".33",".33",".96",".95",".33",".32",".17",".00",".24",".33",".34",".27",".14",".30",".28",".46",".15",".34",".32",".35",".34",".40",".33",".35",".39",".28",".32",".30",".31",".95",".97",".92",".96",".86",".85",".80",".90",".89",".89",".96",".93",".88",".93",".92",".88",".86",".95",".82",".94",".92","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"new_housing_price_index",".05",".20",".14","-.09",".09",".07",".04",".08",".03",".40",".22",".11",".18",".14",".24",".14",".13",".22",".13",".13",".09",".12","-.04",".06",".26",".10",".13",".24",".15",".21",".13",".09",".23",".16",".11",".23",".10",".03",".25",".12","-.01",".04",".19",".14",".18",".07",".20",".21",".21","-.19",".22","-.02","-.03",".25",".14",".14",".27",".11",".16",".14","-.06",".18",".00",".10",".19",".09",".09",".08",".10",".01",".07",".07",".06",".07",".77",".75",".08",".06",".29","-.10",".09",".07",".10",".00","-.37",".01","-.01",".20","-.06",".11",".08",".10",".09",".20",".16",".11",".17",".07",".10",".04",".05",".73",".81",".68",".80",".63",".71",".53",".76",".70",".66",".79",".73",".66",".75",".72",".73",".74",".80",".67",".83",".75",".79","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_goods",".93",".84",".95",".83",".95",".99",".99",".93",".92",".32",".78",".69",".33",".77",".35",".54",".68",".56",".63",".38",".54",".31","-.06",".70",".20",".56",".46",".28",".40",".23",".83",".15",".08",".70",".61",".75",".89",".87",".76",".76",".78",".80",".81",".70",".88",".80",".65",".59",".78",".75",".73",".27",".15",".79",".76","-.15",".72",".89",".62",".67","-.13",".86",".82",".43",".87",".98",".99",".99",".98",".94",".24",".99",".99",".98",".25",".25",".99",".99","-.26",".85",".92",".99",".98","1.00",".82",".34",".98",".94",".98",".98",".98",".98",".96",".95",".97",".97",".96",".98",".97",".99",".98",".26",".22",".25",".24",".19",".00",".21",".23",".30",".27",".25",".22",".14",".32",".31",".20",".22",".22",".27",".18",".21",".27",".00","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_agriculture",".87",".79",".90",".77",".89",".94",".94",".87",".84",".36",".75",".61",".41",".73",".39",".53",".67",".53",".64",".37",".49",".36",".00",".62",".26",".54",".41",".32",".43",".29",".81",".16",".16",".68",".61",".77",".80",".78",".71",".68",".73",".75",".73",".64",".83",".77",".66",".54",".74",".69",".71",".28",".13",".74",".68","-.18",".68",".83",".57",".66","-.17",".80",".76",".41",".80",".93",".93",".93",".93",".88",".33",".94",".94",".93",".25",".26",".94",".93","-.26",".81",".88",".94",".93",".95",".88",".36",".92",".90",".91",".93",".93",".93",".90",".90",".92",".91",".92",".93",".93",".94",".93",".26",".22",".27",".24",".21",".02",".23",".21",".32",".29",".25",".25",".17",".32",".30",".20",".20",".21",".27",".18",".23",".25","-.02",".94","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_natural_resources",".29",".39",".29",".23",".33",".28",".28",".49",".50",".50",".35",".05",".43",".09",".33",".14",".11",".19",".14",".04",".10",".11",".08",".05",".12",".11",".08",".05",".33",".36",".33",".29",".27",".35",".31",".33",".12",".12",".14",".10",".09",".10",".06",".10",".15",".11",".09",".03",".10",".11",".07",".02","-.08",".15",".08","-.15",".09",".15",".04",".21","-.09",".11",".14",".01",".10",".30",".33",".33",".32",".27",".53",".32",".33",".31",".39",".40",".34",".34","-.57",".20",".25",".34",".32",".38",".51","1.00",".32",".46",".18",".31",".32",".38",".25",".32",".28",".30",".31",".28",".34",".37",".27",".44",".31",".47",".31",".49",".22",".46",".27",".42",".44",".33",".41",".40",".28",".39",".41",".23",".35",".23",".31",".37",".32",".03",".35",".37","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_utilities",".92",".85",".94",".81",".94",".98",".98",".93",".91",".30",".79",".72",".27",".75",".30",".54",".64",".52",".61",".35",".56",".31","-.05",".74",".19",".55",".47",".26",".35",".25",".82",".15",".08",".68",".62",".75",".90",".89",".77",".79",".76",".81",".81",".71",".87",".77",".61",".58",".76",".71",".70",".28",".13",".80",".79","-.16",".71",".88",".66",".64","-.14",".85",".82",".40",".87",".97",".97",".98",".97",".94",".23",".97",".97",".97",".25",".25",".98",".98","-.23",".84",".91",".98",".97",".98",".81",".30","1.00",".93",".96",".97",".97",".96",".96",".95",".96",".96",".95",".96",".95",".97",".97",".27",".23",".25",".24",".19",".02",".22",".25",".30",".26",".25",".22",".13",".33",".31",".20",".23",".22",".26",".17",".21",".28",".00",".98",".92",".32","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_construction",".80",".89",".89",".63",".85",".94",".94",".93",".89",".52",".86",".74",".47",".77",".50",".59",".62",".57",".64",".35",".59",".32","-.06",".71",".30",".55",".52",".32",".51",".32",".84",".21",".17",".74",".63",".79",".88",".83",".87",".81",".64",".80",".83",".76",".89",".73",".66",".62",".80",".56",".74",".18",".05",".88",".81","-.16",".79",".88",".69",".69","-.14",".89",".74",".41",".89",".95",".96",".96",".96",".89",".29",".96",".96",".96",".45",".45",".96",".95","-.29",".67",".85",".96",".96",".93",".75",".46",".91","1.00",".84",".96",".95",".97",".95",".97",".95",".95",".96",".94",".95",".95",".94",".47",".42",".46",".43",".39",".19",".39",".41",".48",".46",".45",".42",".34",".51",".51",".39",".39",".42",".42",".38",".41",".48",".19",".93",".90",".47",".91","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
